algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
RILSROLS,feynman_III_10_19,0.0,Feynman,0.0,1.0,0.06184697738436229,0.003817751714546183
RILSROLS,feynman_III_10_19,0.001,Feynman,0.0,1.0,0.06949033798044532,0.0048172852995032565
RILSROLS,feynman_III_10_19,0.01,Feynman,0.0,1.0,0.10584554949290167,0.011140988419686025
RILSROLS,feynman_III_10_19,0.1,Feynman,0.0,0.0,1.8879922200908301,1.5183121826816854
RILSROLS,feynman_III_12_43,0.0,Feynman,100.0,1.0,3.183527897894791e-08,1.110223024625156e-15
RILSROLS,feynman_III_12_43,0.001,Feynman,100.0,1.0,9.873168095936504e-05,9.747944848210402e-09
RILSROLS,feynman_III_12_43,0.01,Feynman,100.0,1.0,0.0006969050678260506,4.856765556041661e-07
RILSROLS,feynman_III_12_43,0.1,Feynman,70.0,1.0,0.0036270547552984147,1.3155439664785162e-05
RILSROLS,feynman_III_13_18,0.0,Feynman,100.0,1.0,2.5191346839151453e-07,6.350475700855693e-14
RILSROLS,feynman_III_13_18,0.001,Feynman,60.0,1.0,0.20940353741207823,0.04291564911658316
RILSROLS,feynman_III_13_18,0.01,Feynman,0.0,1.0,11.410187643131998,4.876664811192235
RILSROLS,feynman_III_13_18,0.1,Feynman,0.0,0.0,73.59116603181407,8.597234616243787
RILSROLS,feynman_III_14_14,0.0,Feynman,10.0,0.0,0.8372071687148179,0.5311668373793894
RILSROLS,feynman_III_14_14,0.001,Feynman,10.0,0.0,0.9588653527147204,0.6520244974190254
RILSROLS,feynman_III_14_14,0.01,Feynman,10.0,0.0,0.9190187670684077,0.6122600091318706
RILSROLS,feynman_III_14_14,0.1,Feynman,0.0,0.0,1.2801492371571894,0.9703174733587019
RILSROLS,feynman_III_15_12,0.0,Feynman,70.0,1.0,8.000632302472018e-15,0.0
RILSROLS,feynman_III_15_12,0.001,Feynman,100.0,1.0,0.0009311590173895213,8.670567397672371e-07
RILSROLS,feynman_III_15_12,0.01,Feynman,80.0,1.0,0.008656890763581516,7.493894969939262e-05
