algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
RILSROLS,feynman_III_10_19,0.0,Feynman,10.0,1.0,0.10686279839355611,0.011354945583727776
RILSROLS,feynman_III_10_19,0.001,Feynman,0.0,1.0,0.06517228585994499,0.004238431987813403
RILSROLS,feynman_III_12_43,0.0,Feynman,100.0,1.0,3.183527897894791e-08,1.110223024625156e-15
RILSROLS,feynman_III_12_43,0.001,Feynman,0.0,1.0,0.00015676774704517478,2.4576126165230967e-08
RILSROLS,feynman_III_13_18,0.0,Feynman,100.0,1.0,2.5191346839151453e-07,6.350475700855693e-14
RILSROLS,feynman_III_13_18,0.001,Feynman,0.0,1.0,0.02403433764808015,0.0005774826109972752
RILSROLS,feynman_III_14_14,0.0,Feynman,10.0,0.0,0.959616569699379,0.65277506443423
RILSROLS,feynman_III_14_14,0.001,Feynman,0.0,0.0,1.5703947440123445,1.243041482467172
RILSROLS,feynman_III_15_12,0.0,Feynman,100.0,1.0,7.92855824566252e-15,0.0
RILSROLS,feynman_III_15_12,0.001,Feynman,0.0,1.0,0.001374236328376082,1.8885237029535313e-06
RILSROLS,feynman_III_15_14,0.0,Feynman,90.0,1.0,3.2669848356422933e-09,0.0
RILSROLS,feynman_III_15_14,0.001,Feynman,0.0,1.0,2.6965035074639585e-06,7.271072632848641e-12
RILSROLS,feynman_III_15_27,0.0,Feynman,100.0,1.0,1.8306177833477522e-09,0.0
RILSROLS,feynman_III_15_27,0.001,Feynman,0.0,1.0,0.0002893897776097068,8.374643982890845e-08
RILSROLS,feynman_III_17_37,0.0,Feynman,90.0,1.0,3.2075758289821725e-15,0.0
RILSROLS,feynman_III_17_37,0.001,Feynman,0.0,1.0,3.2321228374821982e-15,0.0
RILSROLS,feynman_III_19_51,0.0,Feynman,70.0,1.0,1.325005521058563e-15,0.0
RILSROLS,feynman_III_19_51,0.001,Feynman,0.0,1.0,0.00015449612479145983,2.3869052227416167e-08
RILSROLS,feynman_III_21_20,0.0,Feynman,100.0,1.0,3.998462689793892e-15,0.0
RILSROLS,feynman_III_21_20,0.001,Feynman,0.0,1.0,0.0006735161482761823,4.5362389902972696e-07
RILSROLS,feynman_III_4_32,0.0,Feynman,0.0,1.0,0.0004339671480653047,1.8832746787264687e-07
