,dataset,Rils-Rols,AIFeynman,Operon,AFP_FE,AFP,BSR,DSR,EPLEX,FEAT,FFX,GP-GOMEA,ITEA,MRGP,SBP-GP,gplearn,noise
0,feynman_III_10_19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1,feynman_III_12_43,0,0.0,0.0,80.0,80.0,0.0,0.0,30.0,0.0,0.0,0.0,40.0,0.0,0.0,20.0,0.01
2,feynman_III_13_18,0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
3,feynman_III_14_14,10,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
4,feynman_III_15_12,70,20.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.01
5,feynman_III_15_27,0,20.0,10.0,50.0,40.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.01
6,feynman_III_17_37,100,20.0,0.0,50.0,60.0,0.0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.01
7,feynman_III_19_51,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.01
8,feynman_III_21_20,100,10.0,0.0,50.0,20.0,0.0,90.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.01
9,feynman_III_4_32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
10,feynman_III_4_33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
11,feynman_III_7_38,0,40.0,0.0,90.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.01
12,feynman_III_8_54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
13,feynman_III_9_52,0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
14,feynman_II_10_9,100,20.0,0.0,10.0,30.0,0.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.01
15,feynman_II_11_20,0,100.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
16,feynman_II_11_27,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
