label	label2	algorithm	dataset	target_noise	data_group	symbolic_solution_rate_(%)	accuracy_solution	rmse_test	log_mse_test
AFP_0_Feynman	AFP_0	AFP	feynman_III_10_19	0	Feynman	0	0	0.763009843325272	0.458806184332354
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_10_19	0.001	Feynman	0	0	0.782348922363222	0.477518965926984
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_10_19	0.01	Feynman	0	0	0.631359019641118	0.335481897598933
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_10_19	0.1	Feynman	0	0	0.805632662084223	0.500195717701336
AFP_0_Feynman	AFP_0	AFP	feynman_III_12_43	0	Feynman	50	1	0.00045926698899	2.11E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_12_43	0.001	Feynman	70	1	1.49E-05	2.23E-10
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_12_43	0.01	Feynman	80	1	0.000162473377354	2.64E-08
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_12_43	0.1	Feynman	50	1	0.001928968466163	3.72E-06
AFP_0_Feynman	AFP_0	AFP	feynman_III_13_18	0	Feynman	0	0	72.7373195151031	8.57389816973781
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_13_18	0.001	Feynman	0	0	41.6966439221328	7.461416294899
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_13_18	0.01	Feynman	0	0	30.4720866650612	6.83469851719944
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_13_18	0.1	Feynman	0	0	52.5366440670835	7.92338405693473
AFP_0_Feynman	AFP_0	AFP	feynman_III_14_14	0	Feynman	0	0	1.11520630262234	0.808119646890061
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_14_14	0.001	Feynman	0	0	0.925896880279591	0.619115761659052
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_14_14	0.01	Feynman	0	0	1.01234531412794	0.705492183992097
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_14_14	0.1	Feynman	0	0	1.05398468803159	0.747106685684071
AFP_0_Feynman	AFP_0	AFP	feynman_III_15_12	0	Feynman	12.5	0	0.60122251454888	0.308563905431606
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_15_12	0.001	Feynman	10	0	1.85149350837899	1.48795438600259
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_15_12	0.01	Feynman	10	0	0.635167365471656	0.338924642842037
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_15_12	0.1	Feynman	0	0	0.912429450385364	0.605696162540835
AFP_0_Feynman	AFP_0	AFP	feynman_III_15_14	0	Feynman	37.5	0	0.000674021319924	4.54E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_15_14	0.001	Feynman	10	0	0.000921834076059	8.50E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_15_14	0.01	Feynman	10	0	0.000831559276031	6.91E-07
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_15_14	0.1	Feynman	20	1	0.000387349316931	1.50E-07
AFP_0_Feynman	AFP_0	AFP	feynman_III_15_27	0	Feynman	62.5	1	0.000865215466759	7.49E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_15_27	0.001	Feynman	20	1	0.033904240436683	0.001148837353173
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_15_27	0.01	Feynman	40	1	0.010878071764886	0.00011832544459
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_15_27	0.1	Feynman	10	0	0.14613852883199	0.021131615965257
AFP_0_Feynman	AFP_0	AFP	feynman_III_17_37	0	Feynman	62.5	1	0.000809504347785	6.55E-07
