algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
AFP,feynman_III_10_19,0.0,Feynman,800.0,0.0,0.7630098433252729,0.45880618433235476
AFP,feynman_III_10_19,0.001,Feynman,1000.0,0.0,0.7823489223632226,0.47751896592698473
AFP,feynman_III_10_19,0.01,Feynman,1000.0,0.0,0.6313590196411182,0.33548189759893304
AFP,feynman_III_10_19,0.1,Feynman,1000.0,0.0,0.8056326620842239,0.5001957177013363
AFP,feynman_III_12_43,0.0,Feynman,800.0,1.0,0.0004592669889897843,2.1092614495405618e-07
AFP,feynman_III_12_43,0.001,Feynman,1000.0,1.0,1.4948770082908315e-05,2.2346569037158306e-10
AFP,feynman_III_12_43,0.01,Feynman,1000.0,1.0,0.00016247337735397096,2.6397597981036282e-08
AFP,feynman_III_12_43,0.1,Feynman,1000.0,1.0,0.0019289684661634695,3.720912420927374e-06
AFP,feynman_III_13_18,0.0,Feynman,800.0,0.0,72.73731951510314,8.57389816973781
AFP,feynman_III_13_18,0.001,Feynman,1000.0,0.0,41.6966439221328,7.461416294899001
AFP,feynman_III_13_18,0.01,Feynman,1000.0,0.0,30.472086665061248,6.834698517199448
AFP,feynman_III_13_18,0.1,Feynman,1000.0,0.0,52.536644067083564,7.9233840569347365
AFP,feynman_III_14_14,0.0,Feynman,800.0,0.0,1.115206302622345,0.8081196468900617
AFP,feynman_III_14_14,0.001,Feynman,1000.0,0.0,0.9258968802795912,0.6191157616590527
AFP,feynman_III_14_14,0.01,Feynman,1000.0,0.0,1.012345314127942,0.7054921839920978
AFP,feynman_III_14_14,0.1,Feynman,1000.0,0.0,1.0539846880315935,0.7471066856840717
AFP,feynman_III_15_12,0.0,Feynman,800.0,0.0,0.60122251454888,0.3085639054316069
AFP,feynman_III_15_12,0.001,Feynman,1000.0,0.0,1.8514935083789916,1.4879543860025957
AFP,feynman_III_15_12,0.01,Feynman,1000.0,0.0,0.6351673654716564,0.33892464284203716
AFP,feynman_III_15_12,0.1,Feynman,1000.0,0.0,0.9124294503853648,0.605696162540835
AFP,feynman_III_15_14,0.0,Feynman,800.0,0.0,0.0006740213199235447,4.543046364091375e-07
AFP,feynman_III_15_14,0.001,Feynman,1000.0,0.0,0.0009218340760592399,8.497777026328435e-07
AFP,feynman_III_15_14,0.01,Feynman,1000.0,0.0,0.0008315592760306033,6.914905904056017e-07
AFP,feynman_III_15_14,0.1,Feynman,1000.0,1.0,0.0003873493169313745,1.5003948201815532e-07
AFP,feynman_III_15_27,0.0,Feynman,800.0,1.0,0.0008652154667585179,7.485975237686581e-07
AFP,feynman_III_15_27,0.001,Feynman,1000.0,1.0,0.033904240436683136,0.0011488373531727191
AFP,feynman_III_15_27,0.01,Feynman,1000.0,1.0,0.010878071764886019,0.00011832544459046267
AFP,feynman_III_15_27,0.1,Feynman,1000.0,0.0,0.14613852883199077,0.021131615965257415
AFP,feynman_III_17_37,0.0,Feynman,800.0,1.0,0.0008095043477851083,6.552970743911253e-07
AFP,feynman_III_17_37,0.001,Feynman,1000.0,1.0,2.9381459312789797e-05,8.632701216808323e-10
AFP,feynman_III_17_37,0.01,Feynman,1000.0,1.0,0.0010107370896339288,1.0215889425339927e-06
AFP,feynman_III_17_37,0.1,Feynman,1000.0,1.0,0.004489030719956267,2.015119376811056e-05
AFP,feynman_III_19_51,0.0,Feynman,800.0,0.0,0.33802251974610953,0.10818981089463467
AFP,feynman_III_19_51,0.001,Feynman,1000.0,0.0,0.37431905789461384,0.1311289214656471
AFP,feynman_III_19_51,0.01,Feynman,1000.0,0.0,0.29144758861496883,0.08152624998131607
AFP,feynman_III_19_51,0.1,Feynman,1000.0,0.0,0.4371668987020561,0.17488975702218343
AFP,feynman_III_21_20,0.0,Feynman,800.0,1.0,0.0005549574182074646,3.0797768855532487e-07
AFP,feynman_III_21_20,0.001,Feynman,1000.0,1.0,0.00021629217393155477,4.6782303380454214e-08
AFP,feynman_III_21_20,0.01,Feynman,1000.0,1.0,0.004547172621685813,2.067656508966879e-05
AFP,feynman_III_21_20,0.1,Feynman,1000.0,1.0,0.06157884542215396,0.0037847828683839884
AFP,feynman_III_4_32,0.0,Feynman,800.0,1.0,0.024480966961254992,0.0005991382242017629
AFP,feynman_III_4_32,0.001,Feynman,1000.0,1.0,0.06987371414965178,0.004870455979250718
AFP,feynman_III_4_32,0.01,Feynman,1000.0,1.0,0.1744143739188668,0.029966848910741136
AFP,feynman_III_4_32,0.1,Feynman,1000.0,0.0,0.3340754247081327,0.10580616679513243
AFP,feynman_III_4_33,0.0,Feynman,800.0,1.0,0.10192026095132606,0.010334157768713359
AFP,feynman_III_4_33,0.001,Feynman,1000.0,1.0,0.08775037527302716,0.007670633683944755
AFP,feynman_III_4_33,0.01,Feynman,1000.0,1.0,0.0657296949495998,0.004311086695586432
AFP,feynman_III_4_33,0.1,Feynman,1000.0,1.0,0.09457701280368186,0.008905043493873431
AFP,feynman_III_7_38,0.0,Feynman,800.0,1.0,0.6020062769356744,0.3092563334997313
AFP,feynman_III_7_38,0.001,Feynman,1000.0,1.0,0.0014689660150564324,2.1578588251389233e-06
AFP,feynman_III_7_38,0.01,Feynman,1000.0,1.0,0.015073784825479313,0.00022719317864012243
AFP,feynman_III_7_38,0.1,Feynman,1000.0,1.0,0.21162081871863045,0.04380956336737208
AFP,feynman_III_8_54,0.0,Feynman,800.0,0.0,0.301696337303248,0.08711366170538225
AFP,feynman_III_8_54,0.001,Feynman,1000.0,0.0,0.3176151069898318,0.09610927515908183
AFP,feynman_III_8_54,0.01,Feynman,1000.0,0.0,0.2835568314444627,0.07733548644756828
AFP,feynman_III_8_54,0.1,Feynman,1000.0,0.0,0.29281052949579545,0.0822599457990041
AFP,feynman_III_9_52,0.0,Feynman,800.0,0.0,6.891843517680266,3.8815123960490117
AFP,feynman_III_9_52,0.001,Feynman,1000.0,0.0,6.6328291416487115,3.806538535917345
AFP,feynman_III_9_52,0.01,Feynman,1000.0,0.0,5.86670998695321,3.567228242449204
AFP,feynman_III_9_52,0.1,Feynman,1000.0,0.0,6.145375434520478,3.657534267441008
AFP,feynman_II_10_9,0.0,Feynman,800.0,1.0,0.005478038489162357,3.000845543062502e-05
AFP,feynman_II_10_9,0.001,Feynman,1000.0,1.0,0.002292821180960372,5.257015149791551e-06
AFP,feynman_II_10_9,0.01,Feynman,1000.0,1.0,0.00013159846710307933,1.7318156314481635e-08
AFP,feynman_II_10_9,0.1,Feynman,1000.0,1.0,0.004359356157608312,1.9003805535311365e-05
AFP,feynman_II_11_20,0.0,Feynman,800.0,0.0,0.5135955911187723,0.23410757115492103
AFP,feynman_II_11_20,0.001,Feynman,1000.0,0.0,0.539699416928822,0.255630459075951
AFP,feynman_II_11_20,0.01,Feynman,1000.0,0.0,0.5835478524099156,0.29306363785671985
AFP,feynman_II_11_20,0.1,Feynman,1000.0,0.0,0.6664134113180455,0.3674910230417198
AFP,feynman_II_11_27,0.0,Feynman,800.0,1.0,0.0081373627149634,6.621447972789569e-05
AFP,feynman_II_11_27,0.001,Feynman,1000.0,1.0,0.019582250171426646,0.00038339101804678397
AFP,feynman_II_11_27,0.01,Feynman,1000.0,1.0,0.017925483984040202,0.000321271362890696
