,dataset,samples,features,regressor,time,acc_score,ll_score,model
0,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,RILSROLSClassifier,1475.0423862934113,0.5925,0.7116676301891295,
1,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,RILSROLSClassifier,1673.6898338794708,0.785,0.6820035414893666,
2,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,RILSROLSClassifier,1553.376341342926,0.5125,0.721359829864074,
3,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,RILSROLSClassifier,1953.5129747390747,0.6475,0.70287520669905,
4,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,RILSROLSClassifier,1519.9410095214844,0.615,0.7040009067338932,
5,adult,48842,14,RILSROLSClassifier,10001.317309617996,0.7978871509294898,0.5437362147374167,
6,agaricus_lepiota,8145,22,RILSROLSClassifier,4902.513543844223,0.9936180657830143,0.5655404716103608,
7,chess,3196,36,RILSROLSClassifier,3293.7047576904297,0.9411764705882353,0.587667059385179,
8,churn,5000,20,RILSROLSClassifier,3805.01362323761,0.8712,0.7729501864020587,
9,coil2000,9822,85,RILSROLSClassifier,3707.3188297748566,0.8542345276872965,1.2013325558480492,
10,credit_g,1000,20,RILSROLSClassifier,1770.7498424053192,0.684,0.6295954190585129,
11,dis,3772,29,RILSROLSClassifier,1764.8086104393005,0.9904559915164369,0.3264306086244537,
12,flare,1066,10,RILSROLSClassifier,1514.722046136856,0.7415730337078652,1.6573500681375384,
13,german,1000,20,RILSROLSClassifier,1831.332912683487,0.752,0.5682016662436042,
14,hypothyroid,3163,25,RILSROLSClassifier,1945.014991760254,0.9557522123893806,1.3207158403713715,
15,kr_vs_kp,3196,36,RILSROLSClassifier,3256.5717236995697,0.934918648310388,0.5918230958526525,
16,magic,19020,10,RILSROLSClassifier,9432.045272827148,0.8300736067297582,0.6952231661281242,
17,mofn_3_7_10,1324,10,RILSROLSClassifier,1879.8836216926575,1.0,0.4528864055617701,
18,mushroom,8124,22,RILSROLSClassifier,5793.031754255295,0.9970457902511078,0.5766455206434796,
19,parity5+5,1124,10,RILSROLSClassifier,1220.9939930438995,0.4626334519572954,0.7465585290074809,
20,phoneme,5404,5,RILSROLSClassifier,3110.5119738578796,0.7905255366395263,0.7148575553423757,
21,ring,7400,20,RILSROLSClassifier,6200.187106132507,0.7675675675675676,0.6612166114277465,
22,spambase,4601,57,RILSROLSClassifier,4206.1773936748505,0.8288444830582102,0.6287906503394403,
23,twonorm,7400,20,RILSROLSClassifier,10003.35353732109,0.9664864864864865,0.554741143342982,
