,dataset,samples,features,regressor,time,acc_score,ll_score,model
0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,RILSROLSClassifier,19.26973224,0.445,0.7706341090539897,0.078466*x375*x599*x623 + 0.176626*x736*sin(x461*x528) + 0.450763
1,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,RILSROLSClassifier,17.48001504,0.7,0.6473381167975295,-0.071728*x18 - 0.074107*x19 + 1.702274*sin(sqrt(2)*sqrt(x18**2/2 - x18*x19 + x19**2/2 + 0.275)) - 0.751499
2,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,RILSROLSClassifier,24.24524617,0.7975,0.5934832502518027,1.418619*x18**2*x19**2 - 0.56518*x18**2 - 2.935017*x18*x19 + 1.176227*x18 - 0.561257*x19**2 + 1.124384*x19 + 0.362949
3,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,RILSROLSClassifier,11.64971018,0.4775,0.8357616875182228,0.5075
4,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,RILSROLSClassifier,15.62160301,0.68,0.6645449872150262,-1.125294*SQRT(X16) + 1.405722*SQRT(X16 + SIN(X17)) - 1.177516*SIN(X17) + 0.416771
5,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,RILSROLSClassifier,18.20269179,0.735,0.6316398344019036,-0.055852*x15 - 1.23807*x16**(1/4) - 1.258899*sqrt(x17) + 1.735054*(x17 + sin(x16))**(1/4) - 0.53947*cos(x16*x17) + 0.948352
6,Hill_Valley_with_noise,1212,100,RILSROLSClassifier,14.92265129,0.8217821782178217,0.6009236161641546,-0.583985 + 0.58151*EXP(-1.246199*SIN(7.073299 - (5.053778*X14 + 5.053778*X26 + 5.053778*X42 + 5.053778*X48 + 5.053778*X64 + 5.053778*X81)/(x0 + X2 + X95 + X98)))
7,Hill_Valley_without_noise,1212,100,RILSROLSClassifier,18.74250937,1,0.4950550752774629,(-25.170847*x0 + 2.803121098657*x16 + 3.71676919222*x30 + 23.671006091448*x4 + 3.400349296589*x47 + 3.218329190384*x61 + 2.749590432554*x74 + 2.92266019514*x85)/x0
8,adult,48842,14,RILSROLSClassifier,101.5460379,0.8250757513717141,0.5008409813573454,0.023769*x4*sqrt(x7)*x9 - 0.037789*x4*x9 - 0.025082*x4 - 0.002541*exp(x7) + 0.062691*log(1/(x0 + x10)) + 1.48213496426749
9,agaricus_lepiota,8145,22,RILSROLSClassifier,103.4419055,0.9916543937162494,0.5145667970505091,-0.001527*exp(x21) - 0.881357*cos(x16*sin(0.248879*x17*x4*sin(-x17**2*x4 + x17*x3 + x3*x6) + 0.017466*x4**2 + 0.0493187442*x4*x7 + 1.57486*sin(x4))) + 0.854107
10,chess,3196,36,RILSROLSClassifier,72.22349811,0.9374217772215269,0.5277534171827765,0.124451*x14 - 0.973906782258*x20*x32*x9 + 0.920785829393664*x20*x32 + 0.985924657349621*x20*x9 + 0.786549*x31*x9 - 0.656188*x31 - 0.808561398248927*x32**2 + 0.837074744855107*x32*x9 + 0.160024*x34 - 0.907084*x9 + 0.636684
11,churn,5000,20,RILSROLSClassifier,103.4182835,0.9072,0.6777328907500072,-0.033999*x19 - 0.00039*x7 + 1.114893*cos(6.9662e-7*x12*x7**2 + 0.009995*x17**2*x4 - 0.172272*x17*x4 + 0.282897506072*x18*x4 - 0.000211520876*x19**2*x7 + 0.0587074783039617*x19**2 + 0.165056*sin(0.001142*x12*x7) + 9.91914) + 0.865296
12,clean2,6598,168,RILSROLSClassifier,94.5126102,1,0.6358190061554673,1.191712*sin(0.000297*x0**2 - 2.66509e-6*x0*x1 - 0.03667*x0 + 0.000234*x1 + 0.929744) - 0.000759
13,coil2000,9822,85,RILSROLSClassifier,84.06887341,0.9397394136807817,0.6931471805599453,0.000927*x42*x46*x58 + 0.034703
14,credit_g,1000,20,RILSROLSClassifier,17.14400911,0.732,0.5648364959874016,0.730559*sin(0.221281*x0**2 - 0.570805*x0 - 0.002705*x1*x7 - 0.253412*x1*x14*sin(x18 + x5)/x12 + 0.005422*x3**2 + 0.879506) + 0.251184
15,dis,3772,29,RILSROLSClassifier,30.58673859,0.985153765,0.3281079229370986,0.485185*x15*x22 - 0.48513*x15 + 0.98513
16,flare,1066,10,RILSROLSClassifier,12.89527917,0.8426966292134831,0.7055131640969272,0.099194*x0 - 0.148649*x2 + 0.117278*x3 + 0.405628*sin(x2) - 0.17074
17,german,1000,20,RILSROLSClassifier,19.81081676,0.732,0.5867583280987342,-0.013299*sqrt(x1)*exp(x19 + cos(x0**2/sqrt(x17))) + 0.001573*x1*x5 + x1*(0.080931*x13 - 0.080931*x7)/x12 + 0.038816*x8 + 0.932685
18,hypothyroid,3163,25,RILSROLSClassifier,45.30562735,0.9683944374209861,0.34635744026595844,-0.000004*X13*X14*X16*X20 + 0.000083*X13*X14*X20*SQRT(X9 + (X16 + X2)/(X12 + 3.141593)) - 0.000148*X13*X14*X20 + 1.007191
