,dataset,Rils-Rols,AIFeynman,Operon,AFP_FE,AFP,BSR,DSR,EPLEX,FEAT,FFX,GP-GOMEA,ITEA,MRGP,SBP-GP,gplearn
0,feynman_III_10_19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,feynman_III_12_43,0,0.0,0.0,80.0,62.5,0.0,0.0,25.0,0.0,0.0,0.0,12.5,0.0,0.0,25.0
2,feynman_III_13_18,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,feynman_III_14_14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,feynman_III_15_12,60,66.66666666666666,0.0,40.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
5,feynman_III_15_27,100,0.0,10.0,30.0,62.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
6,feynman_III_17_37,100,0.0,0.0,60.0,75.0,0.0,87.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,37.5
7,feynman_III_19_51,80,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,feynman_III_21_20,100,0.0,0.0,10.0,12.5,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,feynman_III_4_32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,feynman_III_4_33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,feynman_III_7_38,0,0.0,10.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,feynman_III_8_54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,feynman_III_9_52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,feynman_II_10_9,100,0.0,0.0,10.0,12.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
15,feynman_II_11_20,0,0.0,0.0,30.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,feynman_II_11_27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,feynman_II_11_28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,feynman_II_11_3,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,feynman_II_13_17,100,0.0,0.0,30.0,12.5,0.0,12.5,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0
20,feynman_II_13_23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,feynman_II_13_34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,feynman_II_15_4,80,0.0,0.0,20.0,37.5,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
23,feynman_II_15_5,90,0.0,0.0,30.0,50.0,0.0,100.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0
24,feynman_II_24_17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,feynman_II_27_16,90,0.0,0.0,30.0,62.5,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5
26,feynman_II_27_18,100,0.0,0.0,30.0,37.5,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27,feynman_II_2_42,80,22.22222222222222,0.0,30.0,50.0,0.0,100.0,50.0,0.0,0.0,0.0,62.5,0.0,0.0,12.5
